city,segment
Sydney,Millennials
Toronto,Family
Delhi,Casual
Tokyo,Gen Z
Los Angeles,Gen Z
Sydney,Premium
Mumbai,Sports fans
Delhi,Casual
Toronto,Millennials
Los Angeles,Sports fans
Los Angeles,Casual
Sydney,Casual
Sydney,Family
Delhi,Millennials
Sydney,Sports fans
Delhi,Family
New York,Sports fans
Toronto,Sports fans
Sydney,Millennials
Tokyo,Sports fans
Los Angeles,Family
Sydney,Millennials
Bengaluru,Casual
Delhi,Premium
Mumbai,Gen Z
New York,Gen Z
London,Premium
Tokyo,Premium
Delhi,Gen Z
Sydney,Premium
Berlin,Millennials
Bengaluru,Premium
Berlin,Millennials
Tokyo,Millennials
Tokyo,Gen Z
Bengaluru,Family
Bengaluru,Gen Z
London,Sports fans
London,Family
Sydney,Casual
Bengaluru,Millennials
New York,Family
Bengaluru,Premium
Berlin,Millennials
Toronto,Casual
Los Angeles,Gen Z
Berlin,Casual
Mumbai,Premium
Berlin,Premium
Tokyo,Premium
Tokyo,Family
Sydney,Sports fans
Tokyo,Family
London,Family
London,Premium
Bengaluru,Family
Los Angeles,Casual
Mumbai,Family
Mumbai,Casual
Bengaluru,Casual
Delhi,Millennials
Toronto,Family
Delhi,Gen Z
Toronto,Premium
Bengaluru,Sports fans
New York,Millennials
Toronto,Millennials
Sydney,Family
Delhi,Premium
Sydney,Premium
Sydney,Millennials
Delhi,Gen Z
Delhi,Sports fans
Los Angeles,Sports fans
New York,Premium
Bengaluru,Casual
Mumbai,Gen Z
Berlin,Millennials
Bengaluru,Sports fans
Berlin,Family
Berlin,Millennials
Delhi,Sports fans
New York,Casual
Los Angeles,Gen Z
Los Angeles,Gen Z
Berlin,Casual
Berlin,Millennials
London,Casual
London,Gen Z
Tokyo,Sports fans
London,Gen Z
Berlin,Premium
Los Angeles,Sports fans
Mumbai,Family
New York,Premium
New York,Gen Z
Toronto,Millennials
Sydney,Sports fans
Los Angeles,Millennials
Delhi,Gen Z
Delhi,Gen Z
Sydney,Gen Z
Los Angeles,Gen Z
Sydney,Casual
Toronto,Family
Sydney,Sports fans
Los Angeles,Sports fans
Delhi,Sports fans
Delhi,Premium
London,Premium
Bengaluru,Premium
Los Angeles,Family
Tokyo,Premium
Tokyo,Sports fans
Delhi,Sports fans
Bengaluru,Gen Z
Bengaluru,Family
Bengaluru,Casual
Sydney,Sports fans
Bengaluru,Casual
Toronto,Premium
Los Angeles,Gen Z
Berlin,Casual
Bengaluru,Family
Mumbai,Sports fans
Delhi,Casual
Bengaluru,Premium
London,Gen Z
Mumbai,Millennials
London,Millennials
Berlin,Gen Z
Toronto,Millennials
New York,Casual
Tokyo,Gen Z
Mumbai,Sports fans
Los Angeles,Premium
Toronto,Casual
Tokyo,Casual
Bengaluru,Casual
Bengaluru,Casual
Berlin,Family
Sydney,Gen Z
Toronto,Family
Bengaluru,Gen Z
Bengaluru,Premium
Toronto,Sports fans
