movie_id,rating,review_text
9,3.7,Loved the visuals and soundtrack.
27,2.6,Loved the visuals and soundtrack.
17,2.6,Enjoyable but some scenes felt slow.
30,2.3,Would recommend to friends.
34,3.7,Loved the visuals and soundtrack.
16,3.0,"Plot was predictable, still fun."
29,2.5,Loved the visuals and soundtrack.
14,2.3,Enjoyable but some scenes felt slow.
11,3.6,Loved the visuals and soundtrack.
27,2.8,Loved the visuals and soundtrack.
6,1.0,Would recommend to friends.
15,1.3,Loved the visuals and soundtrack.
17,3.1,"Plot was predictable, still fun."
4,3.7,Strong pacing and great cast.
3,3.2,Enjoyable but some scenes felt slow.
30,2.0,Enjoyable but some scenes felt slow.
4,2.2,Enjoyable but some scenes felt slow.
40,3.5,Would recommend to friends.
36,2.0,Loved the visuals and soundtrack.
25,2.8,"Plot was predictable, still fun."
10,2.5,Loved the visuals and soundtrack.
37,3.9,Enjoyable but some scenes felt slow.
30,3.5,Strong pacing and great cast.
17,2.8,Enjoyable but some scenes felt slow.
39,2.9,Loved the visuals and soundtrack.
31,3.4,"Plot was predictable, still fun."
5,1.7,"Plot was predictable, still fun."
1,2.7,Loved the visuals and soundtrack.
2,1.8,"Plot was predictable, still fun."
31,1.9,"Plot was predictable, still fun."
25,4.2,Strong pacing and great cast.
20,3.2,Strong pacing and great cast.
33,2.4,Would recommend to friends.
39,3.6,Enjoyable but some scenes felt slow.
33,2.4,Enjoyable but some scenes felt slow.
3,2.9,"Plot was predictable, still fun."
39,2.8,Strong pacing and great cast.
29,3.6,Loved the visuals and soundtrack.
5,3.0,"Plot was predictable, still fun."
19,4.5,Loved the visuals and soundtrack.
32,2.5,Loved the visuals and soundtrack.
15,3.6,Enjoyable but some scenes felt slow.
32,3.4,Would recommend to friends.
30,3.1,Enjoyable but some scenes felt slow.
26,1.7,"Plot was predictable, still fun."
2,2.6,Strong pacing and great cast.
4,2.3,Loved the visuals and soundtrack.
24,3.3,Loved the visuals and soundtrack.
22,2.8,Would recommend to friends.
8,3.2,Would recommend to friends.
22,3.7,Strong pacing and great cast.
29,4.1,Loved the visuals and soundtrack.
25,3.0,Would recommend to friends.
27,1.5,Strong pacing and great cast.
5,2.2,Enjoyable but some scenes felt slow.
2,3.6,Enjoyable but some scenes felt slow.
16,2.9,Enjoyable but some scenes felt slow.
36,4.2,Would recommend to friends.
34,3.0,Loved the visuals and soundtrack.
